Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count<Data::UntypedSharedPtr::Model<double>, std::allocator<Data::UntypedSharedPtr::Model<double> >, double*&, std::function<void (double const*)>&>(Data::UntypedSharedPtr::Model<double>*&, std::_Sp_alloc_shared_tag<std::allocator<Data::UntypedSharedPtr::Model<double> > >, double*&, std::function<void (double const*)>&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      0.00     0.00        1     0.00     0.00  std::_Function_handler<void (double const*), Data::UntypedSharedPtr::emptyDestructor<double const>()::{lambda(double const*)#1}>::_M_invoke(std::_Any_data const&, double const*&&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Sp_counted_deleter<double*, std::function<void (double const*)>, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      0.00     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<Data::UntypedSharedPtr::Model<double>, std::allocator<Data::UntypedSharedPtr::Model<double> >, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      0.00     0.00        1     0.00     0.00  void std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > >::_M_realloc_insert<std::pair<char, char> >(__gnu_cxx::__normal_iterator<std::pair<char, char>*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >, std::pair<char, char>&&)
  0.00      0.00     0.00        1     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.00     0.00        1     0.00     0.00  std::__detail::_BracketMatcher<std::__cxx11::regex_traits<char>, false, false>::_M_ready()
  0.00      0.00     0.00        1     0.00     0.00  std::__detail::_Scanner<char>::_M_eat_escape_ecma()
  0.00      0.00     0.00        1     0.00     0.00  std::__detail::_Scanner<char>::_Scanner(char const*, char const*, std::regex_constants::syntax_option_type, std::locale)
  0.00      0.00     0.00        1     0.00     0.00  void std::__detail::_Compiler<std::__cxx11::regex_traits<char> >::_M_insert_char_matcher<false, false>()
  0.00      0.00     0.00        1     0.00     0.00  void std::__detail::_Compiler<std::__cxx11::regex_traits<char> >::_M_insert_bracket_matcher<false, false>(bool)
  0.00      0.00     0.00        1     0.00     0.00  std::__detail::_Compiler<std::__cxx11::regex_traits<char> >::_M_pop()
  0.00      0.00     0.00        1     0.00     0.00  std::function<bool (char)>::function<std::__detail::_BracketMatcher<std::__cxx11::regex_traits<char>, false, false>, void, void>(std::__detail::_BracketMatcher<std::__cxx11::regex_traits<char>, false, false>)
  0.00      0.00     0.00        1     0.00     0.00  main

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) no time propagated

index % time    self  children    called     name
[1]      0.0    0.00    0.00       1+8       <cycle 1 as a whole> [1]
                0.00    0.00       5             std::__detail::_Compiler<std::__cxx11::regex_traits<char> >::_M_atom() <cycle 1> [111]
                0.00    0.00       2+3           std::__detail::_Compiler<std::__cxx11::regex_traits<char> >::_M_alternative() <cycle 1> [123]
                0.00    0.00       2             std::__detail::_Compiler<std::__cxx11::regex_traits<char> >::_M_disjunction() <cycle 1> [124]
-----------------------------------------------
                0.00    0.00   29555/29555       executeTeam [3]
[2]      0.0    0.00    0.00   29555         execute [2]
                0.00    0.00    4479/4479        P47 [6]
                0.00    0.00    4479/4479        P49 [8]
                0.00    0.00    4479/4479        P48 [7]
                0.00    0.00    4405/4405        P40 [11]
                0.00    0.00    4405/4405        P41 [12]
                0.00    0.00    4318/4318        P32 [14]
                0.00    0.00    4318/4318        P39 [21]
                0.00    0.00    4318/4318        P38 [20]
                0.00    0.00    4318/4318        P37 [19]
                0.00    0.00    4318/4318        P36 [18]
                0.00    0.00    4318/4318        P35 [17]
                0.00    0.00    4318/4318        P34 [16]
                0.00    0.00    4318/4318        P33 [15]
                0.00    0.00    4112/4112        P25 [23]
                0.00    0.00    4025/4025        P30 [28]
                0.00    0.00    4025/4025        P29 [27]
                0.00    0.00    4025/4025        P28 [26]
                0.00    0.00    4025/4025        P27 [25]
                0.00    0.00    4025/4025        P26 [24]
                0.00    0.00    3726/3726        P11 [30]
                0.00    0.00    3627/3627        P15 [32]
                0.00    0.00    3627/3627        P14 [31]
                0.00    0.00    2113/2113        P42 [34]
                0.00    0.00    2113/2113        P43 [35]
                0.00    0.00    2110/2110        P44 [37]
                0.00    0.00    2110/2110        P45 [38]
                0.00    0.00    2022/2022        P5 [40]
                0.00    0.00    1831/1831        P4 [42]
                0.00    0.00    1831/1831        P6 [43]
                0.00    0.00    1698/1698        P9 [45]
                0.00    0.00    1690/1690        P10 [46]
                0.00    0.00     191/191         P7 [51]
                0.00    0.00     191/191         P8 [52]
                0.00    0.00     136/136         P0 [54]
                0.00    0.00     136/136         P2 [56]
                0.00    0.00     136/136         P1 [55]
                0.00    0.00      99/99          P17 [61]
                0.00    0.00      99/99          P19 [62]
                0.00    0.00      99/99          P13 [60]
                0.00    0.00      99/99          P12 [59]
                0.00    0.00      87/87          P31 [66]
                0.00    0.00      39/39          P16 [69]
                0.00    0.00      39/39          P21 [70]
                0.00    0.00      39/39          P23 [72]
                0.00    0.00      39/39          P24 [73]
                0.00    0.00      39/39          P22 [71]
                0.00    0.00      38/38          P46 [78]
                0.00    0.00      28/28          P3 [81]
                0.00    0.00       8/8           P18 [85]
                0.00    0.00       8/8           P20 [86]
-----------------------------------------------
                0.00    0.00   29555/29555       executeFromVertex [98]
[3]      0.0    0.00    0.00   29555         executeTeam [3]
                0.00    0.00   29555/29555       execute [2]
                0.00    0.00   29555/29555       push [4]
-----------------------------------------------
                0.00    0.00   29555/29555       executeTeam [3]
[4]      0.0    0.00    0.00   29555         push [4]
-----------------------------------------------
                0.00    0.00   29549/29549       reset [10]
[5]      0.0    0.00    0.00   29549         pop [5]
-----------------------------------------------
                0.00    0.00    4479/4479        execute [2]
[6]      0.0    0.00    0.00    4479         P47 [6]
-----------------------------------------------
                0.00    0.00    4479/4479        execute [2]
[7]      0.0    0.00    0.00    4479         P48 [7]
-----------------------------------------------
                0.00    0.00    4479/4479        execute [2]
[8]      0.0    0.00    0.00    4479         P49 [8]
-----------------------------------------------
                0.00    0.00    4479/4479        executeFromVertex [98]
[9]      0.0    0.00    0.00    4479         T23 [9]
-----------------------------------------------
                0.00    0.00    4479/4479        inferenceTPG [100]
[10]     0.0    0.00    0.00    4479         reset [10]
                0.00    0.00   29549/29549       pop [5]
-----------------------------------------------
                0.00    0.00    4405/4405        execute [2]
[11]     0.0    0.00    0.00    4405         P40 [11]
-----------------------------------------------
                0.00    0.00    4405/4405        execute [2]
[12]     0.0    0.00    0.00    4405         P41 [12]
-----------------------------------------------
                0.00    0.00    4405/4405        executeFromVertex [98]
[13]     0.0    0.00    0.00    4405         T19 [13]
-----------------------------------------------
                0.00    0.00    4318/4318        execute [2]
[14]     0.0    0.00    0.00    4318         P32 [14]
-----------------------------------------------
                0.00    0.00    4318/4318        execute [2]
[15]     0.0    0.00    0.00    4318         P33 [15]
-----------------------------------------------
                0.00    0.00    4318/4318        execute [2]
[16]     0.0    0.00    0.00    4318         P34 [16]
-----------------------------------------------
                0.00    0.00    4318/4318        execute [2]
[17]     0.0    0.00    0.00    4318         P35 [17]
-----------------------------------------------
                0.00    0.00    4318/4318        execute [2]
[18]     0.0    0.00    0.00    4318         P36 [18]
-----------------------------------------------
                0.00    0.00    4318/4318        execute [2]
[19]     0.0    0.00    0.00    4318         P37 [19]
-----------------------------------------------
                0.00    0.00    4318/4318        execute [2]
[20]     0.0    0.00    0.00    4318         P38 [20]
-----------------------------------------------
                0.00    0.00    4318/4318        execute [2]
[21]     0.0    0.00    0.00    4318         P39 [21]
-----------------------------------------------
                0.00    0.00    4318/4318        executeFromVertex [98]
[22]     0.0    0.00    0.00    4318         T18 [22]
-----------------------------------------------
                0.00    0.00    4112/4112        execute [2]
[23]     0.0    0.00    0.00    4112         P25 [23]
-----------------------------------------------
                0.00    0.00    4025/4025        execute [2]
[24]     0.0    0.00    0.00    4025         P26 [24]
-----------------------------------------------
                0.00    0.00    4025/4025        execute [2]
[25]     0.0    0.00    0.00    4025         P27 [25]
-----------------------------------------------
                0.00    0.00    4025/4025        execute [2]
[26]     0.0    0.00    0.00    4025         P28 [26]
-----------------------------------------------
                0.00    0.00    4025/4025        execute [2]
[27]     0.0    0.00    0.00    4025         P29 [27]
-----------------------------------------------
                0.00    0.00    4025/4025        execute [2]
[28]     0.0    0.00    0.00    4025         P30 [28]
-----------------------------------------------
                0.00    0.00    4025/4025        executeFromVertex [98]
[29]     0.0    0.00    0.00    4025         T16 [29]
-----------------------------------------------
                0.00    0.00    3726/3726        execute [2]
[30]     0.0    0.00    0.00    3726         P11 [30]
-----------------------------------------------
                0.00    0.00    3627/3627        execute [2]
[31]     0.0    0.00    0.00    3627         P14 [31]
-----------------------------------------------
                0.00    0.00    3627/3627        execute [2]
[32]     0.0    0.00    0.00    3627         P15 [32]
-----------------------------------------------
                0.00    0.00    3627/3627        executeFromVertex [98]
[33]     0.0    0.00    0.00    3627         T7 [33]
-----------------------------------------------
                0.00    0.00    2113/2113        execute [2]
[34]     0.0    0.00    0.00    2113         P42 [34]
-----------------------------------------------
                0.00    0.00    2113/2113        execute [2]
[35]     0.0    0.00    0.00    2113         P43 [35]
-----------------------------------------------
                0.00    0.00    2113/2113        executeFromVertex [98]
[36]     0.0    0.00    0.00    2113         T20 [36]
-----------------------------------------------
                0.00    0.00    2110/2110        execute [2]
[37]     0.0    0.00    0.00    2110         P44 [37]
-----------------------------------------------
                0.00    0.00    2110/2110        execute [2]
[38]     0.0    0.00    0.00    2110         P45 [38]
-----------------------------------------------
                0.00    0.00    2110/2110        executeFromVertex [98]
[39]     0.0    0.00    0.00    2110         T21 [39]
-----------------------------------------------
                0.00    0.00    2022/2022        execute [2]
[40]     0.0    0.00    0.00    2022         P5 [40]
-----------------------------------------------
                0.00    0.00    2014/2014        executeFromVertex [98]
[41]     0.0    0.00    0.00    2014         A4 [41]
-----------------------------------------------
                0.00    0.00    1831/1831        execute [2]
[42]     0.0    0.00    0.00    1831         P4 [42]
-----------------------------------------------
                0.00    0.00    1831/1831        execute [2]
[43]     0.0    0.00    0.00    1831         P6 [43]
-----------------------------------------------
                0.00    0.00    1831/1831        executeFromVertex [98]
[44]     0.0    0.00    0.00    1831         T2 [44]
-----------------------------------------------
                0.00    0.00    1698/1698        execute [2]
[45]     0.0    0.00    0.00    1698         P9 [45]
-----------------------------------------------
                0.00    0.00    1690/1690        execute [2]
[46]     0.0    0.00    0.00    1690         P10 [46]
-----------------------------------------------
                0.00    0.00    1690/1690        executeFromVertex [98]
[47]     0.0    0.00    0.00    1690         T4 [47]
-----------------------------------------------
                0.00    0.00    1448/1448        executeFromVertex [98]
[48]     0.0    0.00    0.00    1448         A10 [48]
-----------------------------------------------
                0.00    0.00     553/553         executeFromVertex [98]
[49]     0.0    0.00    0.00     553         A17 [49]
-----------------------------------------------
                0.00    0.00     242/242         executeFromVertex [98]
[50]     0.0    0.00    0.00     242         A0 [50]
-----------------------------------------------
                0.00    0.00     191/191         execute [2]
[51]     0.0    0.00    0.00     191         P7 [51]
-----------------------------------------------
                0.00    0.00     191/191         execute [2]
[52]     0.0    0.00    0.00     191         P8 [52]
-----------------------------------------------
                0.00    0.00     191/191         executeFromVertex [98]
[53]     0.0    0.00    0.00     191         T3 [53]
-----------------------------------------------
                0.00    0.00     136/136         execute [2]
[54]     0.0    0.00    0.00     136         P0 [54]
-----------------------------------------------
                0.00    0.00     136/136         execute [2]
[55]     0.0    0.00    0.00     136         P1 [55]
-----------------------------------------------
                0.00    0.00     136/136         execute [2]
[56]     0.0    0.00    0.00     136         P2 [56]
-----------------------------------------------
                0.00    0.00     136/136         executeFromVertex [98]
[57]     0.0    0.00    0.00     136         T0 [57]
-----------------------------------------------
                0.00    0.00     100/100         executeFromVertex [98]
[58]     0.0    0.00    0.00     100         A14 [58]
-----------------------------------------------
                0.00    0.00      99/99          execute [2]
[59]     0.0    0.00    0.00      99         P12 [59]
-----------------------------------------------
                0.00    0.00      99/99          execute [2]
[60]     0.0    0.00    0.00      99         P13 [60]
-----------------------------------------------
                0.00    0.00      99/99          execute [2]
[61]     0.0    0.00    0.00      99         P17 [61]
-----------------------------------------------
                0.00    0.00      99/99          execute [2]
[62]     0.0    0.00    0.00      99         P19 [62]
-----------------------------------------------
                0.00    0.00      99/99          executeFromVertex [98]
[63]     0.0    0.00    0.00      99         T11 [63]
-----------------------------------------------
                0.00    0.00      99/99          executeFromVertex [98]
[64]     0.0    0.00    0.00      99         T6 [64]
-----------------------------------------------
                0.00    0.00      99/99          executeFromVertex [98]
[65]     0.0    0.00    0.00      99         T9 [65]
-----------------------------------------------
